cell	verdict	steps	best_uplift	max_scar	duration_sec	unique_sha
BITDET_01	PASS	null	None	None	None	1
BITDET_02	PASS	null	None	None	None	1
BITDET_03	PASS	null	None	None	None	1
BITDET_5K	PASS	null	None	None	None	1
BITDET_K2_S1_BIG	PASS	1	5.5	1.2	0.074	1
BITDET_K2_S20_PARITY	PASS	20	3.0	1.2	2.291	1
BITDET_K2_S2_BIG	PASS	2	6.5	1.2	0.127	1
BITDET_K2_S30	PASS	30	3.0	1.2	7.211	1
BITDET_K2_S30_BIG	PASS	30	3.0	1.2	7.592	1
BITDET_K2_S3_BIG	PASS	3	4.0	1.2	0.316	1
BITDET_K2_S4_BIG	PASS	4	3.5	1.2	0.487	1
BITDET_K2_S56	PASS	56	3.0	1.2	27.884	1
BITDET_K2_S56_BIG	PASS	56	3.0	1.2	93.357	1
BITDET_K2_S5_BIG	PASS	5	4.0	1.2	0.632	1
BITDET_K2_S6	PASS	6	4.0	1.2	0.649	1
BITDET_K2_S6_BIG	PASS	6	4.0	1.2	0.815	1
BITDET_K2_S7_BIG	PASS	7	3.0	1.2	0.961	1
BITDET_K2_S8_BIG	PASS	8	3.5	1.2	1.188	1
BITDET_K2_S9_BIG	PASS	9	3.5	1.2	1.418	1
K2_CYC6_S12	PASS	12	3.0	1.2	2.502	1
K2_CYC6_S18	PASS	18	3.0	1.2	4.128	1
K2_CYC6_S24	PASS	24	3.0	1.2	6.204	1
K2_CYC6_S6	PASS	6	4.0	1.2	0.858	1
K2_CYC7_S14	PASS	14	3.0	1.2	2.762	1
K2_CYC7_S21	PASS	21	3.0	1.2	4.419	1
K2_CYC7_S7	PASS	7	3.0	1.2	1.09	1
K2_CYC8_S16	PASS	16	3.0	1.2	3.273	1
K2_CYC8_S8	PASS	8	3.5	1.2	1.462	1
K2_S20	PASS	20	3.0	1.2	4.657	1
K2_S28	PASS	28	3.0	1.2	8.235	1
K2_S29	PASS	29	3.0	1.2	8.677	1
K2_S30	PASS	30	3.0	1.2	9.251	1
K2_S31	PASS	31	3.0	1.2	8.668	1
K2_S32	PASS	32	3.0	1.2	11.361	1
K2_S33	PASS	33	3.0	1.2	11.914	1
K2_S34	PASS	34	3.0	1.2	12.081	1
K2_S35	PASS	35	3.0	1.2	13.392	1
K2_S36	PASS	36	3.0	1.2	13.137	1
K2_S37	PASS	37	3.0	1.2	13.525	1
K2_S38	PASS	38	3.0	1.2	14.855	1
K2_S39	PASS	39	3.0	1.2	15.191	1
K2_S40	PASS	40	3.0	1.2	15.948	1
K2_S41	PASS	41	3.0	1.2	17.453	1
K2_S42	PASS	42	3.0	1.2	17.841	1
K2_S43	PASS	43	3.0	1.2	19.065	1
K2_S44	PASS	44	3.0	1.2	19.984	1
K2_S45	PASS	45	3.0	1.2	19.962	1
K2_S46	PASS	46	3.0	1.2	20.576	1
K2_S47	PASS	47	3.0	1.2	23.107	1
K2_S48	PASS	48	3.0	1.2	24.063	1
K2_S49	PASS	49	3.0	1.2	27.628	1
K2_S50	PASS	50	3.0	1.2	27.062	1
K2_S51	PASS	51	3.0	1.2	26.906	1
K2_S52	PASS	52	3.0	1.2	26.81	1
K2_S53	PASS	53	3.0	1.2	29.3	1
K2_S54	PASS	54	3.0	1.2	30.478	1
K2_S55	PASS	55	3.0	1.2	29.667	1
K2_S56	PASS	56	3.0	1.2	31.109	1
PRECONV_S1	PASS	1	5.5	1.2	0.082	1
PRECONV_S10	PASS	10	3.0	1.2	1.239	1
PRECONV_S11	PASS	11	3.0	1.2	1.509	1
PRECONV_S13	PASS	13	3.0	1.2	1.811	1
PRECONV_S15	PASS	15	3.0	1.2	2.835	1
PRECONV_S17	PASS	17	3.0	1.2	2.874	1
PRECONV_S19	PASS	19	3.0	1.2	3.43	1
PRECONV_S2	PASS	2	6.5	1.2	0.121	1
PRECONV_S22	PASS	22	3.0	1.2	4.781	1
PRECONV_S25	PASS	25	3.0	1.2	5.354	1
PRECONV_S3	PASS	3	4.0	1.2	0.212	1
PRECONV_S4	PASS	4	3.5	1.2	0.412	1
PRECONV_S5	PASS	5	4.0	1.2	0.6	1
PRECONV_S9	PASS	9	3.5	1.2	1.135	1
